Time,"Points:0","Points:1","Points:2","Tm"
9.4005e-07,0.00012891,0.00094711,0,301.27
9.4005e-07,0.000125,0.00094707,0,301.29
9.4005e-07,0.00013281,0.00094705,0,301.25
9.4005e-07,0.00013672,0.000947,0,301.23
9.4005e-07,0.00014062,0.00094695,0,301.21
9.4005e-07,0.00014453,0.0009469,0,301.2
9.4005e-07,0.00014844,0.00094686,0,301.19
9.4005e-07,0.00015234,0.00094682,0,301.17
9.4005e-07,0.00015625,0.00094678,0,301.16
9.4005e-07,0.00016016,0.00094675,0,301.15
9.4005e-07,0.00016406,0.00094672,0,301.14
9.4005e-07,0.00016797,0.00094668,0,301.13
9.4005e-07,0.00017187,0.00094666,0,301.12
9.4005e-07,0.00017578,0.00094663,0,301.12
9.4005e-07,0.00017969,0.0009466,0,301.11
9.4005e-07,0.00018359,0.00094658,0,301.1
9.4005e-07,0.0001875,0.00094656,0,301.09
9.4005e-07,0.00019141,0.00094655,0,301.09
9.4005e-07,0.00019531,0.00094653,0,301.08
9.4005e-07,0.00019922,0.00094651,0,301.07
9.4005e-07,0.00020313,0.00094649,0,301.07
9.4005e-07,0.00020703,0.00094648,0,301.06
9.4005e-07,0.00021094,0.00094646,0,301.06
9.4005e-07,0.00021484,0.00094645,0,301.06
9.4005e-07,0.00021875,0.00094643,0,301.05
9.4005e-07,0.00022266,0.00094642,0,301.05
9.4005e-07,0.00022656,0.00094641,0,301.04
9.4005e-07,0.00023047,0.0009464,0,301.04
9.4005e-07,0.00023437,0.00094639,0,301.04
9.4005e-07,0.00023828,0.00094638,0,301.03
9.4005e-07,0.00024219,0.00094637,0,301.03
9.4005e-07,0.00024609,0.00094637,0,301.03
9.4005e-07,0.00025,0.0009464,0,301.02
9.4005e-07,0.00025391,0.00094643,0,301.02
9.4005e-07,0.00025781,0.00094642,0,301.02
9.4005e-07,0.00026172,0.00094641,0,301.01
9.4005e-07,0.00026563,0.0009464,0,301.01
9.4005e-07,0.00026953,0.0009464,0,301.01
9.4005e-07,0.00027344,0.00094639,0,301.01
9.4005e-07,0.00027734,0.00094639,0,301
9.4005e-07,0.00028125,0.00094638,0,301
9.4005e-07,0.00028516,0.00094638,0,301
9.4005e-07,0.00028906,0.00094637,0,301
9.4005e-07,0.00029297,0.00094637,0,301
9.4005e-07,0.00029687,0.00094636,0,300.99
9.4005e-07,0.00030078,0.00094636,0,300.99
9.4005e-07,0.00030469,0.00094635,0,300.99
9.4005e-07,0.00030859,0.00094635,0,300.99
9.4005e-07,0.0003125,0.00094635,0,300.99
9.4005e-07,0.00031641,0.00094634,0,300.99
9.4005e-07,0.00032031,0.00094634,0,300.98
9.4005e-07,0.00032422,0.00094634,0,300.98
9.4005e-07,0.00032812,0.00094633,0,300.98
9.4005e-07,0.00033203,0.00094633,0,300.98
9.4005e-07,0.00033594,0.00094633,0,300.98
9.4005e-07,0.00033984,0.00094632,0,300.97
9.4005e-07,0.00034375,0.00094632,0,300.97
9.4005e-07,0.00034766,0.00094632,0,300.97
