Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.4512e-07,9,300.56,1,300.56,5.9813e+06,0
9.4512e-07,9,300.56,1,300.56,5.9933e+06,0
9.4512e-07,9,300.56,1,300.56,6.0246e+06,0
9.4512e-07,9,300.56,1,300.56,6.0089e+06,0
9.4512e-07,9,300.55,1,300.56,5.9942e+06,0
9.4512e-07,9,300.55,1,300.55,5.9571e+06,0
9.4512e-07,9,300.55,1,300.55,5.9175e+06,0
9.4512e-07,9,300.55,1,300.55,5.8972e+06,0
9.4512e-07,9,300.54,1,300.54,5.8423e+06,0
9.4512e-07,9,300.53,1,300.54,5.7578e+06,0
9.4512e-07,9,300.53,1,300.53,5.6637e+06,0
9.4512e-07,9,300.52,1,300.52,5.5474e+06,0
9.4512e-07,9,300.51,1,300.51,5.4357e+06,0
9.4512e-07,9,300.5,1,300.5,5.3349e+06,0
9.4512e-07,9,300.49,1,300.49,5.2552e+06,0
9.4512e-07,9,300.48,1,300.48,5.188e+06,0
9.4512e-07,9,300.48,1,300.48,5.1153e+06,0
9.4512e-07,9,300.47,1,300.47,5.0124e+06,0
9.4512e-07,9,300.46,1,300.46,4.8883e+06,0
9.4512e-07,9,300.45,1,300.45,4.7748e+06,0
9.4512e-07,9,300.44,1,300.44,4.6798e+06,0
9.4512e-07,9,300.43,1,300.43,4.6077e+06,0
9.4512e-07,9,300.43,1,300.43,4.5506e+06,0
9.4512e-07,9,300.42,1,300.42,4.5086e+06,0
9.4512e-07,9,300.42,1,300.42,4.4938e+06,0
9.4512e-07,9,300.42,1,300.42,4.5083e+06,0
9.4512e-07,9,300.42,1,300.42,4.5564e+06,0
9.4512e-07,9,300.43,1,300.43,4.6243e+06,0
9.4512e-07,9,300.43,1,300.43,4.7114e+06,0
9.4512e-07,9,300.44,1,300.44,4.8284e+06,0
9.4512e-07,9,300.45,1,300.45,4.9871e+06,0
9.4512e-07,9,300.47,1,300.47,5.1862e+06,0
9.4512e-07,9,300.48,1,300.48,5.4189e+06,0
9.4512e-07,9,300.5,1,300.5,5.6736e+06,0
9.4512e-07,9,300.52,1,300.52,5.9489e+06,0
9.4512e-07,9,300.54,1,300.54,6.2322e+06,0
9.4512e-07,9,300.56,1,300.56,6.5053e+06,0
9.4512e-07,9,300.58,1,300.58,6.7474e+06,0
9.4512e-07,9,300.59,1,300.59,6.9383e+06,0
9.4512e-07,9,300.6,1,300.6,7.068e+06,0
9.4512e-07,9,300.6,1,300.6,7.1254e+06,0
9.4512e-07,9,300.59,1,300.59,7.097e+06,0
9.4512e-07,9,300.58,1,300.58,6.9529e+06,0
9.4512e-07,9,300.56,1,300.56,6.6871e+06,0
9.4512e-07,9,300.53,1,300.53,6.3258e+06,0
9.4512e-07,9,300.5,1,300.5,5.9531e+06,0
9.4512e-07,9,300.48,1,300.48,5.6718e+06,0
9.4512e-07,9,300.47,1,300.47,5.543e+06,0
9.4512e-07,9,300.46,1,300.46,5.4941e+06,0
9.4512e-07,9,300.47,1,300.47,5.598e+06,0
9.4512e-07,9,300.49,1,300.49,5.8765e+06,0
9.4512e-07,9,300.53,1,300.53,6.3227e+06,0
9.4512e-07,9,300.59,1,300.59,6.0763e+06,0
9.4512e-07,9,300.59,1,300.59,6.0668e+06,0
9.4512e-07,9,300.59,1,300.59,6.0458e+06,0
9.4512e-07,9,300.58,1,300.58,6.0144e+06,0
9.4512e-07,9,300.58,1,300.58,5.98e+06,0
9.4512e-07,9,300.58,1,300.58,5.9456e+06,0
9.4512e-07,9,300.58,1,300.58,5.9124e+06,0
9.4512e-07,9,300.57,1,300.57,5.8725e+06,0
9.4512e-07,9,300.57,1,300.57,5.819e+06,0
9.4512e-07,9,300.56,1,300.56,5.7469e+06,0
9.4512e-07,9,300.55,1,300.55,5.6555e+06,0
9.4512e-07,9,300.55,1,300.55,5.5532e+06,0
9.4512e-07,9,300.54,1,300.54,5.4527e+06,0
9.4512e-07,9,300.53,1,300.53,5.3549e+06,0
9.4512e-07,9,300.52,1,300.52,5.2699e+06,0
9.4512e-07,9,300.51,1,300.51,5.1925e+06,0
9.4512e-07,9,300.51,1,300.51,5.1159e+06,0
9.4512e-07,9,300.5,1,300.5,5.0313e+06,0
9.4512e-07,9,300.49,1,300.49,4.9362e+06,0
9.4512e-07,9,300.48,1,300.48,4.8548e+06,0
9.4512e-07,9,300.48,1,300.48,4.7885e+06,0
9.4512e-07,9,300.47,1,300.47,4.7374e+06,0
9.4512e-07,9,300.47,1,300.47,4.6961e+06,0
9.4512e-07,9,300.46,1,300.46,4.6596e+06,0
9.4512e-07,9,300.46,1,300.46,4.6363e+06,0
9.4512e-07,9,300.46,1,300.46,4.6363e+06,0
9.4512e-07,9,300.46,1,300.46,4.6714e+06,0
9.4512e-07,9,300.47,1,300.46,4.7259e+06,0
9.4512e-07,9,300.47,1,300.47,4.8064e+06,0
9.4512e-07,9,300.48,1,300.48,4.9225e+06,0
9.4512e-07,9,300.49,1,300.49,5.0773e+06,0
9.4512e-07,9,300.5,1,300.5,5.2652e+06,0
9.4512e-07,9,300.52,1,300.52,5.4855e+06,0
9.4512e-07,9,300.53,1,300.53,5.7228e+06,0
9.4512e-07,9,300.55,1,300.55,5.9661e+06,0
9.4512e-07,9,300.57,1,300.57,6.2109e+06,0
9.4512e-07,9,300.58,1,300.58,6.4416e+06,0
9.4512e-07,9,300.6,1,300.6,6.6426e+06,0
9.4512e-07,9,300.61,1,300.61,6.7938e+06,0
9.4512e-07,9,300.61,1,300.61,6.8818e+06,0
9.4512e-07,9,300.61,1,300.61,6.9179e+06,0
9.4512e-07,9,300.6,1,300.6,6.8766e+06,0
9.4512e-07,9,300.59,1,300.59,6.7429e+06,0
9.4512e-07,9,300.57,1,300.57,6.5147e+06,0
9.4512e-07,9,300.55,1,300.55,6.2396e+06,0
9.4512e-07,9,300.53,1,300.53,5.9827e+06,0
9.4512e-07,9,300.51,1,300.51,5.7915e+06,0
9.4512e-07,9,300.51,1,300.51,5.7042e+06,0
9.4512e-07,9,300.5,1,300.5,5.6833e+06,0
9.4512e-07,9,300.51,1,300.51,5.8008e+06,0
9.4512e-07,9,300.53,1,300.53,6.082e+06,0
9.4512e-07,9,300.57,1,300.57,6.5248e+06,0
