Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.0119e-06,9,271.54,0.8845,240.18,7.4627e+07,0
1.0119e-06,9,276.97,0.87002,240.97,7.7536e+07,0
1.0119e-06,9,279.33,0.86742,242.3,7.9532e+07,0
1.0119e-06,9,284.81,0.86555,246.52,7.9041e+07,0
1.0119e-06,9,293.52,0.8589,252.1,7.4468e+07,0
1.0119e-06,9,302.55,0.84697,256.25,6.2477e+07,0
1.0119e-06,9,310.27,0.82455,255.83,4.8639e+07,0
1.0119e-06,9,314.81,0.7986,251.41,3.8216e+07,0
1.0119e-06,9,315.94,0.77189,243.87,3.0377e+07,0
1.0119e-06,9,315.52,0.73093,230.62,2.3515e+07,0
1.0119e-06,9,315.39,0.68269,215.32,1.7973e+07,0
1.0119e-06,9,315.91,0.63603,200.93,1.4192e+07,0
1.0119e-06,9,316.93,0.58712,186.08,1.1624e+07,0
1.0119e-06,9,318.52,0.54351,173.12,9.4862e+06,0
1.0119e-06,9,319.42,0.48567,155.13,7.8191e+06,0
1.0119e-06,9,321.22,0.45992,147.74,5.4785e+06,0
1.0119e-06,9,317.45,0.40636,129,7.3225e+06,0
1.0119e-06,9,322.37,0.37689,121.5,1.01,0
1.0119e-06,9,318.31,0.3536,112.55,5.6554e+06,0
1.0119e-06,9,315.74,0.31858,100.59,1.01,0
1.0119e-06,9,324.3,0.35062,113.71,1.01,0
1.0119e-06,9,318.25,0.40206,127.96,9.019e+06,0
1.0119e-06,9,315.58,0.39759,125.47,1.0289e+07,0
1.0119e-06,9,314.49,0.40168,126.32,1.0035e+07,0
1.0119e-06,9,312.69,0.43367,135.61,1.1231e+07,0
1.0119e-06,9,304.24,0.52802,160.64,1.6432e+07,0
1.0119e-06,9,294.72,0.65137,191.97,2.7016e+07,0
1.0119e-06,9,300.12,0.86938,260.92,3.1377e+07,0
1.0119e-06,9,302.91,0.98981,299.82,3.1832e+07,0
1.0119e-06,9,302.75,0.99972,302.67,3.1186e+07,0
1.0119e-06,9,302.59,1,302.59,3.0245e+07,0
1.0119e-06,9,302.5,1,302.5,2.936e+07,0
1.0119e-06,9,302.45,1,302.45,2.8685e+07,0
1.0119e-06,9,302.4,1,302.4,2.8144e+07,0
1.0119e-06,9,302.36,1,302.36,2.7658e+07,0
1.0119e-06,9,302.32,1,302.32,2.7233e+07,0
1.0119e-06,9,302.29,1,302.29,2.6865e+07,0
1.0119e-06,9,302.26,1,302.26,2.6538e+07,0
1.0119e-06,9,302.24,1,302.24,2.6242e+07,0
1.0119e-06,9,302.22,1,302.22,2.5988e+07,0
1.0119e-06,9,302.21,1,302.21,2.5782e+07,0
1.0119e-06,9,302.2,1,302.2,2.5612e+07,0
1.0119e-06,9,302.2,1,302.2,2.546e+07,0
1.0119e-06,9,302.19,1,302.19,2.5315e+07,0
1.0119e-06,9,302.19,1,302.19,2.5178e+07,0
1.0119e-06,9,302.19,1,302.19,2.5047e+07,0
1.0119e-06,9,302.19,1,302.19,2.4922e+07,0
1.0119e-06,9,302.19,1,302.19,2.4794e+07,0
1.0119e-06,9,302.2,1,302.2,2.4668e+07,0
1.0119e-06,9,302.2,1,302.2,2.4551e+07,0
1.0119e-06,9,302.21,1,302.21,2.4449e+07,0
1.0119e-06,9,302.21,1,302.21,2.4366e+07,0
1.0119e-06,9,291.36,0.85001,247.66,7.9044e+07,0
1.0119e-06,9,305.64,0.84884,259.44,7.7235e+07,0
1.0119e-06,9,312.01,0.84741,264.4,7.4948e+07,0
1.0119e-06,9,318.63,0.86715,276.3,7.261e+07,0
1.0119e-06,9,324.79,0.89721,291.41,6.6035e+07,0
1.0119e-06,9,332.55,0.88834,295.42,5.4015e+07,0
1.0119e-06,9,337.25,0.83832,282.73,4.2077e+07,0
1.0119e-06,9,334.81,0.75918,254.18,3.4125e+07,0
1.0119e-06,9,329.81,0.65193,215.01,2.7402e+07,0
1.0119e-06,9,326.12,0.53163,173.37,2.1289e+07,0
1.0119e-06,9,324.56,0.42194,136.95,1.6568e+07,0
1.0119e-06,9,324.87,0.33585,109.11,1.3235e+07,0
1.0119e-06,9,325.79,0.27427,89.355,1.0891e+07,0
1.0119e-06,9,326.35,0.22971,74.965,9.0049e+06,0
1.0119e-06,9,325.63,0.18956,61.727,7.484e+06,0
1.0119e-06,9,326.46,0.16078,52.487,5.841e+06,0
1.0119e-06,9,323.57,0.14214,45.994,5.4572e+06,0
1.0119e-06,9,326.5,0.11736,38.317,4.0035e+06,0
1.0119e-06,9,328.13,0.11098,36.415,3.5873e+06,0
1.0119e-06,9,330.13,0.1151,37.998,3.4966e+06,0
1.0119e-06,9,331.23,0.13767,45.602,4.953e+06,0
1.0119e-06,9,322.01,0.14623,47.087,8.8936e+06,0
1.0119e-06,9,320.89,0.14733,47.277,1.0498e+07,0
1.0119e-06,9,323.91,0.15693,50.831,1.1515e+07,0
1.0119e-06,9,322.55,0.2093,67.51,1.2601e+07,0
1.0119e-06,9,306.38,0.3786,116,1.5246e+07,0
1.0119e-06,9,300.99,0.71917,216.46,2.1512e+07,0
1.0119e-06,9,302.54,0.95636,289.34,2.6896e+07,0
1.0119e-06,9,302.78,0.99753,302.03,2.964e+07,0
1.0119e-06,9,302.67,0.99994,302.65,3.0003e+07,0
1.0119e-06,9,302.58,1,302.58,2.9608e+07,0
1.0119e-06,9,302.52,1,302.52,2.8988e+07,0
1.0119e-06,9,302.49,1,302.49,2.8525e+07,0
1.0119e-06,9,302.45,1,302.45,2.8041e+07,0
1.0119e-06,9,302.41,1,302.41,2.7586e+07,0
1.0119e-06,9,302.38,1,302.38,2.718e+07,0
1.0119e-06,9,302.35,1,302.35,2.6823e+07,0
1.0119e-06,9,302.32,1,302.32,2.6503e+07,0
1.0119e-06,9,302.29,1,302.29,2.6214e+07,0
1.0119e-06,9,302.27,1,302.27,2.5967e+07,0
1.0119e-06,9,302.25,1,302.25,2.5766e+07,0
1.0119e-06,9,302.23,1,302.23,2.5599e+07,0
1.0119e-06,9,302.21,1,302.21,2.5451e+07,0
1.0119e-06,9,302.2,1,302.2,2.5308e+07,0
1.0119e-06,9,302.18,1,302.18,2.5171e+07,0
1.0119e-06,9,302.17,1,302.17,2.5041e+07,0
1.0119e-06,9,302.15,1,302.15,2.4916e+07,0
1.0119e-06,9,302.14,1,302.13,2.4789e+07,0
1.0119e-06,9,302.12,1,302.12,2.4665e+07,0
1.0119e-06,9,302.1,1,302.1,2.4549e+07,0
1.0119e-06,9,302.09,1,302.09,2.4449e+07,0
1.0119e-06,9,302.07,1,302.07,2.4367e+07,0
