Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
8.1983e-07,9,302.38,1,302.38,3.1612e+07,0
8.1983e-07,9,302.38,1,302.38,3.1613e+07,0
8.1983e-07,9,302.38,1,302.38,3.1614e+07,0
8.1983e-07,9,302.38,1,302.38,3.1615e+07,0
8.1983e-07,9,302.38,1,302.38,3.1617e+07,0
8.1983e-07,9,302.38,1,302.38,3.162e+07,0
8.1983e-07,9,302.38,1,302.38,3.1624e+07,0
8.1983e-07,9,302.38,1,302.38,3.1629e+07,0
8.1983e-07,9,302.38,1,302.38,3.1635e+07,0
8.1983e-07,9,302.38,1,302.38,3.1641e+07,0
8.1983e-07,9,302.38,1,302.38,3.1647e+07,0
8.1983e-07,9,302.38,1,302.38,3.1653e+07,0
8.1983e-07,9,302.38,1,302.38,3.1657e+07,0
8.1983e-07,9,302.38,1,302.38,3.1659e+07,0
8.1983e-07,9,302.38,1,302.38,3.1661e+07,0
8.1983e-07,9,302.38,1,302.38,3.1662e+07,0
8.1983e-07,9,302.38,1,302.38,3.1664e+07,0
8.1983e-07,9,302.38,1,302.38,3.1668e+07,0
8.1983e-07,9,302.38,1,302.38,3.1673e+07,0
8.1983e-07,9,302.38,1,302.38,3.1682e+07,0
8.1983e-07,9,302.38,1,302.38,3.1696e+07,0
8.1983e-07,9,302.38,1,302.38,3.1715e+07,0
8.1983e-07,9,302.39,1,302.39,3.174e+07,0
8.1983e-07,9,302.39,1,302.39,3.1771e+07,0
8.1983e-07,9,302.39,1,302.39,3.1807e+07,0
8.1983e-07,9,302.39,1,302.39,3.1846e+07,0
