Time,"Cell Type","T3","alpha3","pressure","vtkGhostType","vtkOriginalCellIds"
0,9,300,1,1e+05,0,0
0,9,300,1,1e+05,0,1
0,9,300,1,1e+05,0,2
0,9,300,1,1e+05,0,3
0,9,300,1,1e+05,0,4
0,9,300,1,1e+05,0,5
0,9,300,1,1e+05,0,6
0,9,300,1,1e+05,0,7
0,9,300,1,1e+05,0,8
0,9,300,1,1e+05,0,9
0,9,300,1,1e+05,0,10
0,9,300,1,1e+05,0,11
0,9,300,1,1e+05,0,12
0,9,300,1,1e+05,0,13
0,9,300,1,1e+05,0,14
0,9,300,1,1e+05,0,15
0,9,300,1,1e+05,0,16
0,9,300,1,1e+05,0,17
0,9,300,1,1e+05,0,18
0,9,300,1,1e+05,0,19
0,9,300,1,1e+05,0,20
0,9,300,1,1e+05,0,21
0,9,300,1,1e+05,0,22
0,9,300,1,1e+05,0,23
0,9,300,1,1e+05,0,24
0,9,300,1,1e+05,0,25
