Time,"Cell Type","T3","alpha3","pressure","vtkGhostType"
9.3429e-07,9,300.11,0.99966,1.01,0
9.3429e-07,9,300.11,0.99972,54021,0
9.3429e-07,9,300.11,0.99975,98927,0
9.3429e-07,9,300.12,0.99978,1.1176e+05,0
9.3429e-07,9,300.11,0.9998,1.1004e+05,0
9.3429e-07,9,300.11,0.99982,92849,0
9.3429e-07,9,300.11,0.99984,65622,0
9.3429e-07,9,300.11,0.99986,35865,0
9.3429e-07,9,300.1,0.99988,20724,0
9.3429e-07,9,300.1,0.99992,20237,0
9.3429e-07,9,300.1,0.99997,34225,0
9.3429e-07,9,300.1,0.99999,62382,0
9.3429e-07,9,300.1,1,1.1291e+05,0
9.3429e-07,9,300.11,1,2.1093e+05,0
9.3429e-07,9,300.12,1,3.5108e+05,0
9.3429e-07,9,300.13,1,5.4335e+05,0
9.3429e-07,9,300.15,1,8.1482e+05,0
9.3429e-07,9,300.18,1,1.1596e+06,0
9.3429e-07,9,300.21,1,1.5761e+06,0
9.3429e-07,9,300.25,1,2.0535e+06,0
9.3429e-07,9,300.29,1,2.6097e+06,0
9.3429e-07,9,300.34,1,3.2865e+06,0
9.3429e-07,9,300.41,1,4.1325e+06,0
9.3429e-07,9,300.49,1,5.1716e+06,0
9.3429e-07,9,300.58,1,6.4102e+06,0
9.3429e-07,9,300.69,1,7.8619e+06,0
9.3429e-07,9,300.82,1,9.5651e+06,0
9.3429e-07,9,300.97,1,1.155e+07,0
9.3429e-07,9,301.14,1,1.3815e+07,0
9.3429e-07,9,301.33,1,1.6296e+07,0
9.3429e-07,9,301.52,1,1.8853e+07,0
9.3429e-07,9,301.7,1,2.129e+07,0
9.3429e-07,9,301.86,1,2.3453e+07,0
9.3429e-07,9,301.99,1,2.5281e+07,0
9.3429e-07,9,302.1,1,2.681e+07,0
9.3429e-07,9,302.19,1,2.808e+07,0
9.3429e-07,9,302.27,1,2.9132e+07,0
9.3429e-07,9,302.33,1,3.0006e+07,0
9.3429e-07,9,302.38,1,3.074e+07,0
9.3429e-07,9,302.43,1,3.1359e+07,0
9.3429e-07,9,302.46,1,3.1875e+07,0
9.3429e-07,9,302.49,1,3.2295e+07,0
9.3429e-07,9,302.52,1,3.2651e+07,0
9.3429e-07,9,302.54,1,3.2969e+07,0
9.3429e-07,9,302.56,1,3.326e+07,0
9.3429e-07,9,302.58,1,3.3532e+07,0
9.3429e-07,9,302.59,1,3.3799e+07,0
9.3429e-07,9,302.61,1,3.4086e+07,0
9.3429e-07,9,302.64,1,3.4405e+07,0
9.3429e-07,9,302.66,1,3.4742e+07,0
9.3429e-07,9,302.69,1,3.5084e+07,0
9.3429e-07,9,302.71,1,3.5412e+07,0
9.3429e-07,9,300.2,1,9.3949e+05,0
9.3429e-07,9,300.2,1,9.4319e+05,0
9.3429e-07,9,300.2,1,9.5715e+05,0
9.3429e-07,9,300.2,1,9.6819e+05,0
9.3429e-07,9,300.2,1,9.6415e+05,0
9.3429e-07,9,300.2,1,9.2891e+05,0
9.3429e-07,9,300.19,1,8.6419e+05,0
9.3429e-07,9,300.18,1,7.873e+05,0
9.3429e-07,9,300.18,1,7.1623e+05,0
9.3429e-07,9,300.17,1,6.6595e+05,0
9.3429e-07,9,300.17,1,6.5217e+05,0
9.3429e-07,9,300.18,1,6.8543e+05,0
9.3429e-07,9,300.18,1,7.2613e+05,0
9.3429e-07,9,300.18,1,8.0023e+05,0
9.3429e-07,9,300.2,1,9.5361e+05,0
9.3429e-07,9,300.21,1,1.1727e+06,0
9.3429e-07,9,300.23,1,1.4768e+06,0
9.3429e-07,9,300.26,1,1.8641e+06,0
9.3429e-07,9,300.3,1,2.3361e+06,0
9.3429e-07,9,300.34,1,2.8909e+06,0
9.3429e-07,9,300.39,1,3.5432e+06,0
9.3429e-07,9,300.45,1,4.3177e+06,0
9.3429e-07,9,300.52,1,5.242e+06,0
9.3429e-07,9,300.6,1,6.3314e+06,0
9.3429e-07,9,300.7,1,7.5971e+06,0
9.3429e-07,9,300.81,1,9.0649e+06,0
9.3429e-07,9,300.94,1,1.0739e+07,0
9.3429e-07,9,301.08,1,1.2562e+07,0
9.3429e-07,9,301.22,1,1.4434e+07,0
9.3429e-07,9,301.36,1,1.6308e+07,0
9.3429e-07,9,301.5,1,1.8194e+07,0
9.3429e-07,9,301.64,1,2.0138e+07,0
9.3429e-07,9,301.79,1,2.2155e+07,0
9.3429e-07,9,301.94,1,2.4139e+07,0
9.3429e-07,9,302.06,1,2.5908e+07,0
9.3429e-07,9,302.17,1,2.7385e+07,0
9.3429e-07,9,302.26,1,2.8607e+07,0
9.3429e-07,9,302.33,1,2.9598e+07,0
9.3429e-07,9,302.39,1,3.0399e+07,0
9.3429e-07,9,302.43,1,3.1071e+07,0
9.3429e-07,9,302.47,1,3.1652e+07,0
9.3429e-07,9,302.51,1,3.2147e+07,0
9.3429e-07,9,302.54,1,3.2563e+07,0
9.3429e-07,9,302.56,1,3.2918e+07,0
9.3429e-07,9,302.58,1,3.324e+07,0
9.3429e-07,9,302.6,1,3.3547e+07,0
9.3429e-07,9,302.62,1,3.3845e+07,0
9.3429e-07,9,302.64,1,3.4142e+07,0
9.3429e-07,9,302.67,1,3.4448e+07,0
9.3429e-07,9,302.69,1,3.476e+07,0
9.3429e-07,9,302.71,1,3.5077e+07,0
9.3429e-07,9,302.73,1,3.5395e+07,0
