P (GPa),Points_0,Points_1,Points_2,T3
0.0265758,-0.0005,0,0,302.011
0.0265758,-0.0004995,0,0,302.011
0.0265758,-0.000499,0,0,302.011
0.0265758,-0.0004985,0,0,302.011
0.0264926,-0.000498,0,0,302.005
0.0264926,-0.0004975,0,0,302.005
0.0264926,-0.000497,0,0,302.005
0.0264926,-0.0004965,0,0,302.005
0.0264368,-0.000496,0,0,302.001
0.0264368,-0.0004955,0,0,302.001
0.0264368,-0.000495,0,0,302.001
0.0264368,-0.0004945,0,0,302.001
0.0263831,-0.000494,0,0,301.997
0.0263831,-0.0004935,0,0,301.997
0.0263831,-0.000493,0,0,301.997
0.0263831,-0.0004925,0,0,301.997
0.0263304,-0.000492,0,0,301.993
0.0263304,-0.0004915,0,0,301.993
0.0263304,-0.000491,0,0,301.993
0.0263304,-0.0004905,0,0,301.993
0.0262788,-0.00049,0,0,301.989
0.0262788,-0.0004895,0,0,301.989
0.0262788,-0.000489,0,0,301.989
0.0262788,-0.0004885,0,0,301.989
0.0262291,-0.000488,0,0,301.985
0.0262291,-0.0004875,0,0,301.985
0.0262291,-0.000487,0,0,301.985
0.0262291,-0.0004865,0,0,301.985
0.0261811,-0.000486,0,0,301.982
0.0261811,-0.0004855,0,0,301.982
0.0261811,-0.000485,0,0,301.982
0.0261811,-0.0004845,0,0,301.982
0.0261341,-0.000484,0,0,301.978
0.0261341,-0.0004835,0,0,301.978
0.0261341,-0.000483,0,0,301.978
0.0261341,-0.0004825,0,0,301.978
0.0260881,-0.000482,0,0,301.975
0.0260881,-0.0004815,0,0,301.975
0.0260881,-0.000481,0,0,301.975
0.0260881,-0.0004805,0,0,301.975
0.0260437,-0.00048,0,0,301.971
0.0260437,-0.0004795,0,0,301.971
0.0260437,-0.000479,0,0,301.971
0.0260008,-0.0004785,0,0,301.968
0.0260008,-0.000478,0,0,301.968
0.0260008,-0.0004775,0,0,301.968
0.0260008,-0.000477,0,0,301.968
0.0259595,-0.0004765,0,0,301.965
0.0259595,-0.000476,0,0,301.965
0.0259595,-0.0004755,0,0,301.965
0.0259595,-0.000475,0,0,301.965
0.0259189,-0.0004745,0,0,301.962
0.0259189,-0.000474,0,0,301.962
0.0259189,-0.0004735,0,0,301.962
0.0259189,-0.000473,0,0,301.962
0.0258791,-0.0004725,0,0,301.959
0.0258791,-0.000472,0,0,301.959
0.0258791,-0.0004715,0,0,301.959
0.0258791,-0.000471,0,0,301.959
0.0258405,-0.0004705,0,0,301.956
0.0258405,-0.00047,0,0,301.956
0.0258405,-0.0004695,0,0,301.956
0.0258405,-0.000469,0,0,301.956
0.0258036,-0.0004685,0,0,301.953
0.0258036,-0.000468,0,0,301.953
0.0258036,-0.0004675,0,0,301.953
0.0258036,-0.000467,0,0,301.953
0.0257688,-0.0004665,0,0,301.951
0.0257688,-0.000466,0,0,301.951
0.0257688,-0.0004655,0,0,301.951
0.0257688,-0.000465,0,0,301.951
0.0257368,-0.0004645,0,0,301.948
0.0257368,-0.000464,0,0,301.948
0.0257368,-0.0004635,0,0,301.948
0.0257368,-0.000463,0,0,301.948
0.0257079,-0.0004625,0,0,301.946
0.0257079,-0.000462,0,0,301.946
0.0257079,-0.0004615,0,0,301.946
0.0257079,-0.000461,0,0,301.946
0.0256826,-0.0004605,0,0,301.944
0.0256826,-0.00046,0,0,301.944
0.0256826,-0.0004595,0,0,301.944
0.0256826,-0.000459,0,0,301.944
0.0256609,-0.0004585,0,0,301.943
0.0256609,-0.000458,0,0,301.943
0.0256609,-0.0004575,0,0,301.943
0.0256423,-0.000457,0,0,301.941
0.0256423,-0.0004565,0,0,301.941
0.0256423,-0.000456,0,0,301.941
0.0256423,-0.0004555,0,0,301.941
0.0256245,-0.000455,0,0,301.94
0.0256245,-0.0004545,0,0,301.94
0.0256245,-0.000454,0,0,301.94
0.0256245,-0.0004535,0,0,301.94
0.025607,-0.000453,0,0,301.939
0.025607,-0.0004525,0,0,301.939
0.025607,-0.000452,0,0,301.939
0.025607,-0.0004515,0,0,301.939
0.0255903,-0.000451,0,0,301.937
0.0255903,-0.0004505,0,0,301.937
0.0255903,-0.00045,0,0,301.937
0.0255903,-0.0004495,0,0,301.937
0.0255739,-0.000449,0,0,301.936
0.0255739,-0.0004485,0,0,301.936
0.0255739,-0.000448,0,0,301.936
0.0255739,-0.0004475,0,0,301.936
0.0255586,-0.000447,0,0,301.935
0.0255586,-0.0004465,0,0,301.935
0.0255586,-0.000446,0,0,301.935
0.0255586,-0.0004455,0,0,301.935
0.025544,-0.000445,0,0,301.934
0.025544,-0.0004445,0,0,301.934
0.025544,-0.000444,0,0,301.934
0.025544,-0.0004435,0,0,301.934
0.0255302,-0.000443,0,0,301.933
0.0255302,-0.0004425,0,0,301.933
0.0255302,-0.000442,0,0,301.933
0.0255302,-0.0004415,0,0,301.933
0.0255172,-0.000441,0,0,301.932
0.0255172,-0.0004405,0,0,301.932
0.0255172,-0.00044,0,0,301.932
0.0255172,-0.0004395,0,0,301.932
0.0255044,-0.000439,0,0,301.931
0.0255044,-0.0004385,0,0,301.931
0.0255044,-0.000438,0,0,301.931
0.0255044,-0.0004375,0,0,301.931
0.025492,-0.000437,0,0,301.93
0.025492,-0.0004365,0,0,301.93
0.025492,-0.000436,0,0,301.93
0.0254797,-0.0004355,0,0,301.929
0.0254797,-0.000435,0,0,301.929
0.0254797,-0.0004345,0,0,301.929
0.0254797,-0.000434,0,0,301.929
0.025467,-0.0004335,0,0,301.928
0.025467,-0.000433,0,0,301.928
0.025467,-0.0004325,0,0,301.928
0.025467,-0.000432,0,0,301.928
0.0254538,-0.0004315,0,0,301.927
0.0254538,-0.000431,0,0,301.927
0.0254538,-0.0004305,0,0,301.927
0.0254538,-0.00043,0,0,301.927
0.0254417,-0.0004295,0,0,301.926
0.0254417,-0.000429,0,0,301.926
0.0254417,-0.0004285,0,0,301.926
0.0254417,-0.000428,0,0,301.926
0.0254315,-0.0004275,0,0,301.926
0.0254315,-0.000427,0,0,301.926
0.0254315,-0.0004265,0,0,301.926
0.0254315,-0.000426,0,0,301.926
0.0254232,-0.0004255,0,0,301.925
0.0254232,-0.000425,0,0,301.925
0.0254232,-0.0004245,0,0,301.925
0.0254232,-0.000424,0,0,301.925
0.0254173,-0.0004235,0,0,301.925
0.0254173,-0.000423,0,0,301.925
0.0254173,-0.0004225,0,0,301.925
0.0254173,-0.000422,0,0,301.925
0.0254134,-0.0004215,0,0,301.924
0.0254134,-0.000421,0,0,301.924
0.0254134,-0.0004205,0,0,301.924
0.0254134,-0.00042,0,0,301.924
0.0254111,-0.0004195,0,0,301.924
0.0254111,-0.000419,0,0,301.924
0.0254111,-0.0004185,0,0,301.924
0.0254111,-0.000418,0,0,301.924
0.0254102,-0.0004175,0,0,301.924
0.0254102,-0.000417,0,0,301.924
0.0254102,-0.0004165,0,0,301.924
0.0254104,-0.000416,0,0,301.924
0.0254104,-0.0004155,0,0,301.924
0.0254104,-0.000415,0,0,301.924
0.0254104,-0.0004145,0,0,301.924
0.0254122,-0.000414,0,0,301.924
0.0254122,-0.0004135,0,0,301.924
0.0254122,-0.000413,0,0,301.924
0.0254122,-0.0004125,0,0,301.924
0.0254162,-0.000412,0,0,301.924
0.0254162,-0.0004115,0,0,301.924
0.0254162,-0.000411,0,0,301.924
0.0254162,-0.0004105,0,0,301.924
0.0254229,-0.00041,0,0,301.925
0.0254229,-0.0004095,0,0,301.925
0.0254229,-0.000409,0,0,301.925
0.0254229,-0.0004085,0,0,301.925
0.0254321,-0.000408,0,0,301.926
0.0254321,-0.0004075,0,0,301.926
0.0254321,-0.000407,0,0,301.926
0.0254321,-0.0004065,0,0,301.926
0.0254436,-0.000406,0,0,301.926
0.0254436,-0.0004055,0,0,301.926
0.0254436,-0.000405,0,0,301.926
0.0254436,-0.0004045,0,0,301.926
0.0254573,-0.000404,0,0,301.927
0.0254573,-0.0004035,0,0,301.927
0.0254573,-0.000403,0,0,301.927
0.0254573,-0.0004025,0,0,301.927
0.0254729,-0.000402,0,0,301.929
0.0254729,-0.0004015,0,0,301.929
0.0254729,-0.000401,0,0,301.929
0.0254729,-0.0004005,0,0,301.929
0.0254903,-0.0004,0,0,301.93
0.0254903,-0.0003995,0,0,301.93
0.0254903,-0.000399,0,0,301.93
0.0254903,-0.0003985,0,0,301.93
0.0255093,-0.000398,0,0,301.931
0.0255093,-0.0003975,0,0,301.931
