Time,"Tm","pressure","Points:0","Points:1","Points:2"
9.0462e-07,306.19,8.2373e+07,0,0,0
9.0462e-07,306.19,8.2375e+07,5e-07,0,0
9.0462e-07,306.19,8.2376e+07,1e-06,0,0
9.0462e-07,306.19,8.2381e+07,1.5e-06,0,0
9.0462e-07,306.19,8.2387e+07,2e-06,0,0
9.0462e-07,306.19,8.2398e+07,2.5e-06,0,0
9.0462e-07,306.19,8.2409e+07,3e-06,0,0
9.0462e-07,306.19,8.2425e+07,3.5e-06,0,0
9.0462e-07,306.19,8.2443e+07,4e-06,0,0
9.0462e-07,306.19,8.2465e+07,4.5e-06,0,0
9.0462e-07,306.19,8.2489e+07,5e-06,0,0
9.0462e-07,306.2,8.2518e+07,5.5e-06,0,0
9.0462e-07,306.2,8.2548e+07,6e-06,0,0
9.0462e-07,306.2,8.2581e+07,6.5e-06,0,0
9.0462e-07,306.2,8.2616e+07,7e-06,0,0
9.0462e-07,306.2,8.2654e+07,7.5e-06,0,0
9.0462e-07,306.21,8.2693e+07,8e-06,0,0
9.0462e-07,306.21,8.2735e+07,8.5e-06,0,0
9.0462e-07,306.21,8.2778e+07,9e-06,0,0
9.0462e-07,306.21,8.2825e+07,9.5e-06,0,0
9.0462e-07,306.22,8.2875e+07,1e-05,0,0
9.0462e-07,306.22,8.2928e+07,1.05e-05,0,0
9.0462e-07,306.22,8.2985e+07,1.1e-05,0,0
9.0462e-07,306.23,8.3045e+07,1.15e-05,0,0
9.0462e-07,306.23,8.311e+07,1.2e-05,0,0
9.0462e-07,306.24,8.3178e+07,1.25e-05,0,0
9.0462e-07,306.24,8.3251e+07,1.3e-05,0,0
9.0462e-07,306.25,8.3326e+07,1.35e-05,0,0
9.0462e-07,306.25,8.3407e+07,1.4e-05,0,0
9.0462e-07,306.26,8.349e+07,1.45e-05,0,0
9.0462e-07,306.26,8.358e+07,1.5e-05,0,0
9.0462e-07,306.27,8.3673e+07,1.55e-05,0,0
9.0462e-07,306.28,8.3774e+07,1.6e-05,0,0
9.0462e-07,306.28,8.3879e+07,1.65e-05,0,0
9.0462e-07,306.29,8.3993e+07,1.7e-05,0,0
9.0462e-07,306.3,8.411e+07,1.75e-05,0,0
9.0462e-07,306.31,8.4238e+07,1.8e-05,0,0
9.0462e-07,306.32,8.4368e+07,1.85e-05,0,0
9.0462e-07,306.33,8.4509e+07,1.9e-05,0,0
9.0462e-07,306.34,8.4652e+07,1.95e-05,0,0
9.0462e-07,306.35,8.4806e+07,2e-05,0,0
9.0462e-07,306.36,8.496e+07,2.05e-05,0,0
9.0462e-07,306.37,8.5128e+07,2.1e-05,0,0
9.0462e-07,306.38,8.5295e+07,2.15e-05,0,0
9.0462e-07,306.4,8.5475e+07,2.2e-05,0,0
9.0462e-07,306.41,8.5655e+07,2.25e-05,0,0
9.0462e-07,306.42,8.5846e+07,2.3e-05,0,0
9.0462e-07,306.43,8.6038e+07,2.35e-05,0,0
9.0462e-07,306.45,8.6237e+07,2.4e-05,0,0
9.0462e-07,306.46,8.6439e+07,2.45e-05,0,0
9.0462e-07,306.47,8.6646e+07,2.5e-05,0,0
9.0462e-07,306.49,8.6856e+07,2.55e-05,0,0
9.0462e-07,306.5,8.7071e+07,2.6e-05,0,0
9.0462e-07,306.52,8.7288e+07,2.65e-05,0,0
9.0462e-07,306.53,8.7511e+07,2.7e-05,0,0
9.0462e-07,306.54,8.7736e+07,2.75e-05,0,0
9.0462e-07,306.56,8.7967e+07,2.8e-05,0,0
9.0462e-07,306.58,8.8201e+07,2.85e-05,0,0
9.0462e-07,306.59,8.8441e+07,2.9e-05,0,0
9.0462e-07,306.61,8.8685e+07,2.95e-05,0,0
9.0462e-07,306.62,8.8935e+07,3e-05,0,0
9.0462e-07,306.64,8.919e+07,3.05e-05,0,0
9.0462e-07,306.66,8.9452e+07,3.1e-05,0,0
9.0462e-07,306.68,8.9721e+07,3.15e-05,0,0
9.0462e-07,306.7,8.9995e+07,3.2e-05,0,0
9.0462e-07,306.71,9.0277e+07,3.25e-05,0,0
9.0462e-07,306.73,9.0563e+07,3.3e-05,0,0
9.0462e-07,306.75,9.0857e+07,3.35e-05,0,0
9.0462e-07,306.77,9.1155e+07,3.4e-05,0,0
9.0462e-07,306.79,9.1461e+07,3.45e-05,0,0
9.0462e-07,306.82,9.177e+07,3.5e-05,0,0
9.0462e-07,306.84,9.2088e+07,3.55e-05,0,0
9.0462e-07,306.86,9.241e+07,3.6e-05,0,0
9.0462e-07,306.88,9.2744e+07,3.65e-05,0,0
9.0462e-07,306.9,9.3082e+07,3.7e-05,0,0
9.0462e-07,306.93,9.3432e+07,3.75e-05,0,0
9.0462e-07,306.95,9.3787e+07,3.8e-05,0,0
9.0462e-07,306.98,9.4156e+07,3.85e-05,0,0
9.0462e-07,307,9.4528e+07,3.9e-05,0,0
9.0462e-07,307.03,9.4917e+07,3.95e-05,0,0
9.0462e-07,307.06,9.531e+07,4e-05,0,0
9.0462e-07,307.09,9.5722e+07,4.05e-05,0,0
9.0462e-07,307.11,9.6136e+07,4.1e-05,0,0
9.0462e-07,307.14,9.6566e+07,4.15e-05,0,0
9.0462e-07,307.17,9.6998e+07,4.2e-05,0,0
9.0462e-07,307.2,9.7441e+07,4.25e-05,0,0
9.0462e-07,307.23,9.7886e+07,4.3e-05,0,0
9.0462e-07,307.26,9.8339e+07,4.35e-05,0,0
9.0462e-07,307.29,9.8793e+07,4.4e-05,0,0
9.0462e-07,307.32,9.9255e+07,4.45e-05,0,0
9.0462e-07,307.35,9.9718e+07,4.5e-05,0,0
9.0462e-07,307.39,1.0019e+08,4.55e-05,0,0
9.0462e-07,307.42,1.0066e+08,4.6e-05,0,0
9.0462e-07,307.44,1.0114e+08,4.65e-05,0,0
