Time,avg(alpha1)
0,3.92652696395e-09
6.48047181836e-09,3.92652210084e-09
1.28781976839e-08,3.92651736524e-09
1.91994274962e-08,3.92651257692e-09
2.5446473217e-08,3.92650753032e-09
3.16457491177e-08,3.9265026719e-09
3.7846845016e-08,3.92649800121e-09
4.40487496081e-08,3.92649325001e-09
5.02511448648e-08,3.92648870893e-09
5.64543992883e-08,3.92648418268e-09
6.2658306212e-08,3.92647950967e-09
6.88627042333e-08,3.92647488101e-09
7.5067498989e-08,3.92647037438e-09
8.1272624151e-08,3.92646577615e-09
8.74780344231e-08,3.92646107143e-09
9.36836952682e-08,3.92645659317e-09
9.98894499772e-08,3.92645204598e-09
1.06095328519e-07,3.92644737294e-09
1.12301413083e-07,3.92644283244e-09
1.18507604139e-07,3.92643832099e-09
1.24713876736e-07,3.92643370122e-09
1.30920318376e-07,3.92642909539e-09
1.37126883601e-07,3.9264246047e-09
1.4333350201e-07,3.92642003211e-09
1.49540254288e-07,3.92641537679e-09
1.55747136527e-07,3.92641090848e-09
1.61954066428e-07,3.92640637775e-09
1.6816110224e-07,3.92640174638e-09
1.7436826677e-07,3.92639722536e-09
1.80575484724e-07,3.92639272262e-09
1.86782782694e-07,3.92638812645e-09
1.92990201345e-07,3.92638354476e-09
1.99197686198e-07,3.9263790659e-09
2.05405228548e-07,3.9263745138e-09
2.11612879605e-07,3.92636989108e-09
2.17820610169e-07,3.92636542944e-09
2.24028367391e-07,3.92636092254e-09
2.30236166444e-07,3.92635644632e-09
2.36444044199e-07,3.92635197234e-09
2.42651951944e-07,3.92634748285e-09
2.48859882531e-07,3.92634299028e-09
2.55067871255e-07,3.92633850761e-09
2.61275893138e-07,3.92633403395e-09
2.67483935802e-07,3.92632954189e-09
2.73692020292e-07,3.92632506946e-09
2.799001438e-07,3.92632060762e-09
2.861082869e-07,3.92631611859e-09
2.92316456321e-07,3.92631165944e-09
2.98524666383e-07,3.92630720047e-09
3.04732894726e-07,3.92630272497e-09
3.10941141714e-07,3.92629826353e-09
3.17149427503e-07,3.92629380462e-09
3.23357731912e-07,3.92628935899e-09
3.29566053109e-07,3.92628492255e-09
3.35774405548e-07,3.92628049893e-09
3.41982778724e-07,3.92627609829e-09
3.48191167843e-07,3.92627167067e-09
3.54399580713e-07,3.92626725035e-09
3.60608017161e-07,3.92626283517e-09
3.66816468578e-07,3.92625840109e-09
3.73024937614e-07,3.92625399873e-09
3.79233430895e-07,3.92624959799e-09
3.85441938544e-07,3.92624520247e-09
3.91650460544e-07,3.92624081255e-09
3.97859005349e-07,3.92623641963e-09
4.0406756414e-07,3.92623207109e-09
4.10276136579e-07,3.92622770477e-09
4.164847284e-07,3.92622336041e-09
4.22693335259e-07,3.92621904035e-09
4.28901955557e-07,3.92621469854e-09
4.35110590726e-07,3.92621041941e-09
4.41319241087e-07,3.92620612423e-09
4.47527904429e-07,3.9262018309e-09
4.53736580496e-07,3.92619756997e-09
4.59945272216e-07,3.92619330246e-09
4.66153976096e-07,3.92618909118e-09
4.72362691588e-07,3.92618488004e-09
4.78571421533e-07,3.92618069193e-09
4.84780163469e-07,3.9261765738e-09
4.90988916899e-07,3.92617244728e-09
4.97197682614e-07,3.92616841225e-09
5.03406460179e-07,3.92616441639e-09
5.09615249308e-07,3.92616046342e-09
5.15824049598e-07,3.92615666321e-09
5.22032861995e-07,3.92615291118e-09
5.28241685444e-07,3.92614922629e-09
5.34450519145e-07,3.92614562091e-09
5.40659361258e-07,3.92614210456e-09
5.46868199273e-07,3.92613881807e-09
5.53077041424e-07,3.92613555463e-09
5.59285885029e-07,3.92613157041e-09
5.65494729309e-07,3.92605119957e-09
5.71703581385e-07,3.92119952592e-09
5.77912478641e-07,3.91058079033e-09
5.8412138734e-07,3.89577976068e-09
5.90330311949e-07,3.8773570973e-09
5.96539256064e-07,3.85564989699e-09
6.02742302098e-07,3.83082793464e-09
6.08928760978e-07,3.80301285808e-09
6.15098979447e-07,3.7722880618e-09
6.2125321994e-07,3.73871046432e-09
6.27391721974e-07,3.70232719447e-09
6.33514601658e-07,3.66317046216e-09
6.39621914038e-07,3.62126296936e-09
6.45713568454e-07,3.57662046902e-09
6.51789536259e-07,3.52924197728e-09
6.57849830997e-07,3.47910487693e-09
6.63893975941e-07,3.42617152016e-09
6.69922139892e-07,3.37044995464e-09
6.75934382344e-07,3.31196265732e-09
6.81930061031e-07,3.2507451481e-09
6.87908282398e-07,3.18684631006e-09
6.93868516665e-07,3.12031021826e-09
6.99809817085e-07,3.05119603666e-09
7.0573115254e-07,2.97854055144e-09
7.11631168623e-07,2.89978279491e-09
7.17509330802e-07,2.81591292742e-09
7.23364650425e-07,2.72744919957e-09
7.29196059441e-07,2.63472308274e-09
7.35002338001e-07,2.53790217523e-09
7.40781963896e-07,2.43711513296e-09
7.46533105394e-07,2.33246179659e-09
7.52253258691e-07,2.22404959116e-09
7.57940122422e-07,2.11196508116e-09
7.63590866995e-07,1.99628490022e-09
7.69202431256e-07,1.87708123044e-09
7.7477043979e-07,1.75456599854e-09
7.80291104018e-07,1.62893604625e-09
7.85753389569e-07,1.50050371257e-09
7.91113072814e-07,1.37046993616e-09
7.96362293776e-07,1.23933789946e-09
8.01509353502e-07,1.1069556601e-09
8.06566300127e-07,9.72941750176e-10
8.11531574207e-07,8.37514618809e-10
8.16369854346e-07,7.02010567363e-10
8.21022982154e-07,5.6873154664e-10
8.25459470731e-07,4.39537092666e-10
8.29602997099e-07,3.18097295762e-10
8.33282858497e-07,2.11777853061e-10
8.36304361449e-07,1.2745921831e-10
8.38730712014e-07,6.49951203543e-11
8.40554004056e-07,3.37761930898e-11
8.41140777376e-07,3.04527358838e-11
8.41739719495e-07,3.08690993496e-11
8.4312459779e-07,3.53315271904e-11
8.45405174473e-07,4.41325192471e-11
8.48173264966e-07,5.7071899282e-11
